scenario,scenario_label,draw_id,path_id,final_balance_uf,total_contributions_uf,contribution_density,months_cotizando,months_desempleado,months_informal,months_licencia,months_invalidez,baseline_final_balance_same_draw_uf,paired_gap_vs_baseline_uf,paired_gap_vs_baseline_pct
estable,Trayectoria estable,draw_00001,estable_00001,6577.610762443189,2159.2567078823,0.9145833333333333,439,15,21,5,0,6577.610762443189,0.0,0.0
estable,Trayectoria estable,draw_00002,estable_00002,6849.4827716723885,2239.664858459209,0.9479166666666666,455,17,8,0,0,6849.4827716723885,0.0,0.0
estable,Trayectoria estable,draw_00003,estable_00003,6534.643458336061,2131.308401228265,0.9020833333333333,433,16,30,1,0,6534.643458336061,0.0,0.0
estable,Trayectoria estable,draw_00004,estable_00004,6973.708300608285,2283.3322022954376,0.9666666666666667,464,14,0,2,0,6973.708300608285,0.0,0.0
estable,Trayectoria estable,draw_00005,estable_00005,6855.278927161451,2225.5301600799207,0.94375,453,15,7,5,0,6855.278927161451,0.0,0.0
estable,Trayectoria estable,draw_00006,estable_00006,6637.310420972124,2144.0744797467123,0.9125,438,19,19,4,0,6637.310420972124,0.0,0.0
estable,Trayectoria estable,draw_00007,estable_00007,7260.3095852390525,2346.948086764049,0.9958333333333333,478,2,0,0,0,7260.3095852390525,0.0,0.0
estable,Trayectoria estable,draw_00008,estable_00008,3648.5588857461094,607.0512219790664,0.29583333333333334,142,4,7,2,325,3648.5588857461094,0.0,0.0
estable,Trayectoria estable,draw_00009,estable_00009,6309.90905507168,1616.376468352389,0.725,348,3,0,0,129,6309.90905507168,0.0,0.0
estable,Trayectoria estable,draw_00010,estable_00010,7161.099483195394,2266.971228251758,0.9666666666666667,464,3,13,0,0,7161.099483195394,0.0,0.0
estable,Trayectoria estable,draw_00011,estable_00011,7096.698378573268,2283.1143926749833,0.96875,465,9,1,5,0,7096.698378573268,0.0,0.0
estable,Trayectoria estable,draw_00012,estable_00012,6903.889174186041,2210.604321441782,0.9395833333333333,451,11,16,2,0,6903.889174186041,0.0,0.0
estable,Trayectoria estable,draw_00013,estable_00013,6829.70434856157,2181.333181911714,0.9291666666666667,446,13,13,8,0,6829.70434856157,0.0,0.0
estable,Trayectoria estable,draw_00014,estable_00014,6733.496342438517,2230.0191393842397,0.9416666666666667,452,18,7,3,0,6733.496342438517,0.0,0.0
estable,Trayectoria estable,draw_00015,estable_00015,6971.301129888226,2282.0527220467075,0.9666666666666667,464,5,4,7,0,6971.301129888226,0.0,0.0
estable,Trayectoria estable,draw_00016,estable_00016,7129.088087695981,2290.3874306311754,0.9729166666666667,467,8,5,0,0,7129.088087695981,0.0,0.0
estable,Trayectoria estable,draw_00017,estable_00017,6750.4786394314415,2237.243765907456,0.9458333333333333,454,13,12,1,0,6750.4786394314415,0.0,0.0
estable,Trayectoria estable,draw_00018,estable_00018,5855.682960655564,1596.6026912489883,0.7083333333333334,340,5,19,2,114,5855.682960655564,0.0,0.0
estable,Trayectoria estable,draw_00019,estable_00019,7097.374980458965,2268.6019427459228,0.9645833333333333,463,7,9,1,0,7097.374980458965,0.0,0.0
estable,Trayectoria estable,draw_00020,estable_00020,6856.884950206125,2166.768826978839,0.925,444,11,23,2,0,6856.884950206125,0.0,0.0
estable,Trayectoria estable,draw_00021,estable_00021,6727.01385751329,2114.1984821244223,0.9,432,19,25,4,0,6727.01385751329,0.0,0.0
estable,Trayectoria estable,draw_00022,estable_00022,6948.171418909269,2181.003691422677,0.9291666666666667,446,13,20,1,0,6948.171418909269,0.0,0.0
estable,Trayectoria estable,draw_00023,estable_00023,5099.511371809657,1033.1165545777267,0.48541666666666666,233,3,5,6,233,5099.511371809657,0.0,0.0
estable,Trayectoria estable,draw_00024,estable_00024,6766.343611199196,2069.8507281496445,0.8875,426,21,33,0,0,6766.343611199196,0.0,0.0
estable,Trayectoria estable,draw_00025,estable_00025,7023.317861820925,2264.7598576216774,0.9604166666666667,461,5,3,11,0,7023.317861820925,0.0,0.0
estable,Trayectoria estable,draw_00026,estable_00026,6636.968425202844,2131.0105039741316,0.90625,435,4,34,7,0,6636.968425202844,0.0,0.0
estable,Trayectoria estable,draw_00027,estable_00027,7006.51622053557,2247.3980419109753,0.9541666666666667,458,8,12,2,0,7006.51622053557,0.0,0.0
estable,Trayectoria estable,draw_00028,estable_00028,6946.427112937817,2190.6237468146933,0.9333333333333333,448,12,12,8,0,6946.427112937817,0.0,0.0
estable,Trayectoria estable,draw_00029,estable_00029,6501.293718707823,2221.4986867843268,0.9354166666666667,449,2,27,2,0,6501.293718707823,0.0,0.0
estable,Trayectoria estable,draw_00030,estable_00030,7075.4866846575205,2322.637063087989,0.9833333333333333,472,6,0,2,0,7075.4866846575205,0.0,0.0
estable,Trayectoria estable,draw_00031,estable_00031,7180.377406857249,2310.282993060641,0.98125,471,6,0,3,0,7180.377406857249,0.0,0.0
estable,Trayectoria estable,draw_00032,estable_00032,6800.969052725089,2183.7197628643507,0.9270833333333334,445,13,17,5,0,6800.969052725089,0.0,0.0
estable,Trayectoria estable,draw_00033,estable_00033,7104.526544978564,2263.763070634107,0.9625,462,5,12,1,0,7104.526544978564,0.0,0.0
estable,Trayectoria estable,draw_00034,estable_00034,6703.6312321530395,2136.101729771935,0.9083333333333333,436,4,38,2,0,6703.6312321530395,0.0,0.0
estable,Trayectoria estable,draw_00035,estable_00035,6988.199247291008,2171.8577563237386,0.9291666666666667,446,9,17,8,0,6988.199247291008,0.0,0.0
estable,Trayectoria estable,draw_00036,estable_00036,7166.613554827665,2329.005117856129,0.9875,474,1,2,3,0,7166.613554827665,0.0,0.0
estable,Trayectoria estable,draw_00037,estable_00037,6832.179185434885,2184.1367341460204,0.9270833333333334,445,12,21,2,0,6832.179185434885,0.0,0.0
estable,Trayectoria estable,draw_00038,estable_00038,4125.240979288824,699.4493906941161,0.33958333333333335,163,8,0,0,309,4125.240979288824,0.0,0.0
estable,Trayectoria estable,draw_00039,estable_00039,7160.764719557069,2293.4933015124207,0.975,468,1,2,9,0,7160.764719557069,0.0,0.0
estable,Trayectoria estable,draw_00040,estable_00040,6902.240405065626,2122.3188238135353,0.9104166666666667,437,10,32,1,0,6902.240405065626,0.0,0.0
estable,Trayectoria estable,draw_00041,estable_00041,6853.846092248865,2270.5329033905123,0.9604166666666667,461,3,14,2,0,6853.846092248865,0.0,0.0
estable,Trayectoria estable,draw_00042,estable_00042,6703.661033415111,2238.267715046462,0.94375,453,11,16,0,0,6703.661033415111,0.0,0.0
estable,Trayectoria estable,draw_00043,estable_00043,7092.613320996395,2265.4488642722686,0.9625,462,10,7,1,0,7092.613320996395,0.0,0.0
estable,Trayectoria estable,draw_00044,estable_00044,6618.4830301952215,2130.7835385274166,0.9041666666666667,434,20,23,3,0,6618.4830301952215,0.0,0.0
estable,Trayectoria estable,draw_00045,estable_00045,7087.999159223378,2287.052126551187,0.9708333333333333,466,7,4,3,0,7087.999159223378,0.0,0.0
estable,Trayectoria estable,draw_00046,estable_00046,7056.771136895784,2270.881141830521,0.9645833333333333,463,6,6,5,0,7056.771136895784,0.0,0.0
estable,Trayectoria estable,draw_00047,estable_00047,6881.279475582331,2270.788690161935,0.9604166666666667,461,6,10,3,0,6881.279475582331,0.0,0.0
estable,Trayectoria estable,draw_00048,estable_00048,4403.001801308523,799.619778350435,0.38333333333333336,184,6,7,1,282,4403.001801308523,0.0,0.0
estable,Trayectoria estable,draw_00049,estable_00049,1493.293192445698,187.47644647513903,0.09583333333333334,46,0,0,0,434,1493.293192445698,0.0,0.0
estable,Trayectoria estable,draw_00050,estable_00050,7186.909577274138,2328.715887740256,0.9875,474,6,0,0,0,7186.909577274138,0.0,0.0
estable,Trayectoria estable,draw_00051,estable_00051,6683.62129465367,2166.815577128635,0.9166666666666666,440,27,13,0,0,6683.62129465367,0.0,0.0
estable,Trayectoria estable,draw_00052,estable_00052,2072.0948896871523,275.4700638000825,0.13958333333333334,67,0,0,0,413,2072.0948896871523,0.0,0.0
estable,Trayectoria estable,draw_00053,estable_00053,7066.714631321104,2256.024317274338,0.9604166666666667,461,7,8,4,0,7066.714631321104,0.0,0.0
estable,Trayectoria estable,draw_00054,estable_00054,6913.960019431388,2243.1011447207775,0.95,456,6,15,3,0,6913.960019431388,0.0,0.0
estable,Trayectoria estable,draw_00055,estable_00055,7088.125657113914,2269.54136227901,0.9645833333333333,463,12,4,1,0,7088.125657113914,0.0,0.0
estable,Trayectoria estable,draw_00056,estable_00056,6910.785796477305,2251.829311072013,0.9541666666666667,458,15,4,3,0,6910.785796477305,0.0,0.0
estable,Trayectoria estable,draw_00057,estable_00057,6815.165074977551,2248.5285658114694,0.9520833333333333,457,13,7,3,0,6815.165074977551,0.0,0.0
estable,Trayectoria estable,draw_00058,estable_00058,7002.260962851197,2265.3889997264264,0.9604166666666667,461,8,5,6,0,7002.260962851197,0.0,0.0
estable,Trayectoria estable,draw_00059,estable_00059,7208.581396908622,2314.907410427189,0.9833333333333333,472,7,0,1,0,7208.581396908622,0.0,0.0
estable,Trayectoria estable,draw_00060,estable_00060,6584.978557351833,2119.2006901884047,0.9020833333333333,433,20,23,4,0,6584.978557351833,0.0,0.0
estable,Trayectoria estable,draw_00061,estable_00061,6598.660968570121,2139.047360705928,0.90625,435,20,25,0,0,6598.660968570121,0.0,0.0
estable,Trayectoria estable,draw_00062,estable_00062,6873.132345146525,2140.079378343229,0.9145833333333333,439,19,19,3,0,6873.132345146525,0.0,0.0
estable,Trayectoria estable,draw_00063,estable_00063,7060.281307681758,2252.540194862026,0.9583333333333334,460,11,7,2,0,7060.281307681758,0.0,0.0
estable,Trayectoria estable,draw_00064,estable_00064,6946.035056437501,2219.6791793219604,0.94375,453,6,20,1,0,6946.035056437501,0.0,0.0
estable,Trayectoria estable,draw_00065,estable_00065,6851.139957370577,2117.0383617614966,0.9041666666666667,434,0,42,4,0,6851.139957370577,0.0,0.0
estable,Trayectoria estable,draw_00066,estable_00066,6332.419177038249,1760.0422446519913,0.775,372,15,5,2,86,6332.419177038249,0.0,0.0
estable,Trayectoria estable,draw_00067,estable_00067,6746.484800347896,2243.981465705174,0.9479166666666666,455,17,2,6,0,6746.484800347896,0.0,0.0
