scenario,scenario_label,representative_path_id,month,age,state,potential_wage_uf,contribution_uf,fund_proxy,monthly_return,opening_balance_uf,closing_balance_uf
estable,Trayectoria estable,estable_01538,1,25.0,cotizando,40.0,4.0,A,0.008679999999999998,10.0,14.12152
estable,Trayectoria estable,estable_01538,2,25.083333333333332,cotizando,40.03318152457385,4.003318152457385,A,0.009827486142760198,14.12152,18.302959748240433
estable,Trayectoria estable,estable_01538,3,25.166666666666668,cotizando,40.06639057448702,4.0066390574487025,A,0.010336206183524772,18.302959748240433,22.540195418816456
estable,Trayectoria estable,estable_01538,4,25.25,cotizando,40.099627172572845,4.0099627172572845,A,0.0104171986309609,22.540195418816456,26.826736407060643
estable,Trayectoria estable,estable_01538,5,25.333333333333332,cotizando,40.13289134168357,4.013289134168357,A,0.010379008735728586,26.826736407060643,31.160114435731504
estable,Trayectoria estable,estable_01538,6,25.416666666666668,cotizando,40.16618310469041,4.016618310469041,A,0.01051342867575762,31.160114435731504,35.54656081697391
estable,Trayectoria estable,estable_01538,7,25.5,cotizando,40.19950248448356,4.019950248448356,A,0.010989733509961241,35.54656081697391,40.00133647795018
estable,Trayectoria estable,estable_01538,8,25.583333333333332,cotizando,40.2328495039722,4.02328495039722,A,0.011791674204378292,40.00133647795018,44.543745421201564
estable,Trayectoria estable,estable_01538,9,25.666666666666668,cotizando,40.2662241860845,4.02662241860845,A,0.012717636852109058,44.543745421201564,49.188068139770074
estable,Trayectoria estable,estable_01538,10,25.75,cotizando,40.299626553767666,4.0299626553767665,A,0.013444027579963425,49.188068139770074,53.933495468908134
estable,Trayectoria estable,estable_01538,11,25.833333333333332,cotizando,40.33305662998793,4.033305662998793,A,0.01363158239112461,53.933495468908134,58.75698035748645
estable,Trayectoria estable,estable_01538,12,25.916666666666668,cotizando,40.366514437730594,4.036651443773059,A,0.013040418595664313,58.75698035748645,63.61248704508995
estable,Trayectoria estable,estable_01538,13,26.0,cotizando,40.4,4.04,A,0.011616666806495842,63.61248704508995,68.43838344572355
estable,Trayectoria estable,estable_01538,14,26.083333333333332,cotizando,40.43351333981959,4.043351333981959,A,0.009522408502175396,68.43838344572355,73.1719354672242
estable,Trayectoria estable,estable_01538,15,26.166666666666668,cotizando,40.467054480231894,4.046705448023189,A,0.0070985786152718815,73.1719354672242,77.76678350834874
estable,Trayectoria estable,estable_01538,16,26.25,cotizando,40.500623444298576,4.050062344429858,A,0.004771779756822687,77.76678350834874,82.20725782158597
estable,Trayectoria estable,estable_01538,17,26.333333333333332,cotizando,40.53422025510041,4.053422025510041,A,0.0029338272984144043,82.20725782158597,86.5137537844112
estable,Trayectoria estable,estable_01538,18,26.416666666666668,cotizando,40.56784493573731,4.056784493573732,A,0.0018316138323691796,86.5137537844112,90.73642852869999
estable,Trayectoria estable,estable_01538,19,26.5,cotizando,40.6014975093284,4.0601497509328395,A,0.00150174536927232,90.73642852869999,94.93893860208712
estable,Trayectoria estable,estable_01538,20,26.583333333333332,cotizando,40.635177999011916,4.0635177999011916,A,0.0017703365107813506,94.93893860208712,99.17772406521378
estable,Trayectoria estable,estable_01538,21,26.666666666666668,cotizando,40.668886427945345,4.0668886427945345,A,0.00231780528830527,99.17772406521378,103.48391361733196
estable,Trayectoria estable,estable_01538,22,26.75,cotizando,40.70262281930535,4.0702622819305345,A,0.002787989068178233,103.48391361733196,107.85403576590657
estable,Trayectoria estable,estable_01538,23,26.833333333333332,cotizando,40.736387196287815,4.073638719628781,A,0.002906915935685982,107.85403576590657,112.25303882614163
estable,Trayectoria estable,estable_01538,24,26.916666666666668,cotizando,40.7701795821079,4.07701795821079,A,0.002573548354631464,112.25303882614163,116.62943781058397
