scenario,scenario_label,source_state,target_state,monthly_probability
estable,Trayectoria estable,cotizando,cotizando,0.985
estable,Trayectoria estable,cotizando,desempleado,0.008
estable,Trayectoria estable,cotizando,informal,0.003
estable,Trayectoria estable,cotizando,licencia,0.0038
estable,Trayectoria estable,cotizando,invalidez,0.0002
estable,Trayectoria estable,desempleado,cotizando,0.35
estable,Trayectoria estable,desempleado,desempleado,0.6
estable,Trayectoria estable,desempleado,informal,0.04
estable,Trayectoria estable,desempleado,licencia,0.0095
estable,Trayectoria estable,desempleado,invalidez,0.0005
estable,Trayectoria estable,informal,cotizando,0.12
estable,Trayectoria estable,informal,desempleado,0.03
estable,Trayectoria estable,informal,informal,0.845
estable,Trayectoria estable,informal,licencia,0.0045
estable,Trayectoria estable,informal,invalidez,0.0005
estable,Trayectoria estable,licencia,cotizando,0.7
estable,Trayectoria estable,licencia,desempleado,0.02
estable,Trayectoria estable,licencia,informal,0.005
estable,Trayectoria estable,licencia,licencia,0.2745
estable,Trayectoria estable,licencia,invalidez,0.0005
estable,Trayectoria estable,invalidez,cotizando,0.0
estable,Trayectoria estable,invalidez,desempleado,0.0
estable,Trayectoria estable,invalidez,informal,0.0
estable,Trayectoria estable,invalidez,licencia,0.0
estable,Trayectoria estable,invalidez,invalidez,1.0
intermitente,Trayectoria intermitente,cotizando,cotizando,0.96
intermitente,Trayectoria intermitente,cotizando,desempleado,0.02
intermitente,Trayectoria intermitente,cotizando,informal,0.012
intermitente,Trayectoria intermitente,cotizando,licencia,0.0077
intermitente,Trayectoria intermitente,cotizando,invalidez,0.0003
intermitente,Trayectoria intermitente,desempleado,cotizando,0.2
intermitente,Trayectoria intermitente,desempleado,desempleado,0.7
intermitente,Trayectoria intermitente,desempleado,informal,0.08
intermitente,Trayectoria intermitente,desempleado,licencia,0.0193
intermitente,Trayectoria intermitente,desempleado,invalidez,0.0007
intermitente,Trayectoria intermitente,informal,cotizando,0.08
intermitente,Trayectoria intermitente,informal,desempleado,0.04
intermitente,Trayectoria intermitente,informal,informal,0.87
intermitente,Trayectoria intermitente,informal,licencia,0.0093
intermitente,Trayectoria intermitente,informal,invalidez,0.0007
intermitente,Trayectoria intermitente,licencia,cotizando,0.55
intermitente,Trayectoria intermitente,licencia,desempleado,0.05
intermitente,Trayectoria intermitente,licencia,informal,0.02
intermitente,Trayectoria intermitente,licencia,licencia,0.3793
intermitente,Trayectoria intermitente,licencia,invalidez,0.0007
intermitente,Trayectoria intermitente,invalidez,cotizando,0.0
intermitente,Trayectoria intermitente,invalidez,desempleado,0.0
intermitente,Trayectoria intermitente,invalidez,informal,0.0
intermitente,Trayectoria intermitente,invalidez,licencia,0.0
intermitente,Trayectoria intermitente,invalidez,invalidez,1.0
adversa,Trayectoria adversa,cotizando,cotizando,0.93
adversa,Trayectoria adversa,cotizando,desempleado,0.035
adversa,Trayectoria adversa,cotizando,informal,0.022
adversa,Trayectoria adversa,cotizando,licencia,0.0125
adversa,Trayectoria adversa,cotizando,invalidez,0.0005
adversa,Trayectoria adversa,desempleado,cotizando,0.1
adversa,Trayectoria adversa,desempleado,desempleado,0.78
adversa,Trayectoria adversa,desempleado,informal,0.095
adversa,Trayectoria adversa,desempleado,licencia,0.024
adversa,Trayectoria adversa,desempleado,invalidez,0.001
adversa,Trayectoria adversa,informal,cotizando,0.04
adversa,Trayectoria adversa,informal,desempleado,0.045
adversa,Trayectoria adversa,informal,informal,0.9
adversa,Trayectoria adversa,informal,licencia,0.014
adversa,Trayectoria adversa,informal,invalidez,0.001
adversa,Trayectoria adversa,licencia,cotizando,0.38
adversa,Trayectoria adversa,licencia,desempleado,0.1
adversa,Trayectoria adversa,licencia,informal,0.04
adversa,Trayectoria adversa,licencia,licencia,0.479
adversa,Trayectoria adversa,licencia,invalidez,0.001
adversa,Trayectoria adversa,invalidez,cotizando,0.0
adversa,Trayectoria adversa,invalidez,desempleado,0.0
adversa,Trayectoria adversa,invalidez,informal,0.0
adversa,Trayectoria adversa,invalidez,licencia,0.0
adversa,Trayectoria adversa,invalidez,invalidez,1.0
