fund_id,age_upper_bound_inclusive,weight_sum,monthly_mean_simple_return,monthly_volatility,annualized_arithmetic_mean,annualized_volatility,weight_renta_fija_nacional,weight_acciones_nacionales,weight_fondos_mutuos_nacionales,weight_renta_variable_extranjera,weight_deuda_extranjera
FG01,35.0,1.0,0.0015115,0.004704954466215949,0.018138,0.016298440365568257,0.07,0.5,0.1,0.25,0.08
FG02,40.0,0.9999999999999999,0.0013809999999999998,0.004178350521181175,0.016571999999999996,0.014474230789035387,0.1,0.5,0.1,0.2,0.1
FG03,45.0,1.0,0.001111,0.0038626825299489733,0.013332,0.013380724790760625,0.25,0.3,0.1,0.2,0.15
FG04,50.0,1.0,0.000983,0.003381206218040797,0.011796,0.011712841921028944,0.2,0.3,0.15,0.15,0.2
FG05,55.0,1.0,0.0007084999999999999,0.002943160969624283,0.008502,0.010195408668485877,0.35,0.2,0.15,0.1,0.2
FG06,60.0,1.0,0.0006385,0.0029965262498506087,0.0076619999999999995,0.010380271421910172,0.4,0.15,0.15,0.1,0.2
FG07,65.0,1.0,0.0005268,0.0031322697520652846,0.0063216,0.010850500707176487,0.45,0.1,0.12,0.08,0.25
FG08,70.0,1.0,0.00038750000000000004,0.0032942007814222556,0.0046500000000000005,0.011411446247512889,0.5,0.05,0.1,0.05,0.3
FG09,75.0,1.0000000000000002,0.0003487,0.0034067139869623443,0.0041844000000000004,0.011801203424548636,0.55,0.04,0.07,0.04,0.3
FG10,,1.0,0.0002776,0.003550153611565207,0.0033312000000000003,0.012298092859810164,0.55,0.02,0.06,0.02,0.35
