draw_id,final_balance_uf,total_contributions_uf,contribution_density,months_cotizando,months_desempleado,months_informal
draw_00001,2117.850680115837,1783.4999999999998,0.9318181818181818,492,8,28
draw_00002,2151.3947425413844,1758.1249999999998,0.9185606060606061,485,10,33
draw_00003,2025.6990965695977,1573.2499999999998,0.821969696969697,434,30,64
draw_00004,2254.1063146990296,1656.6249999999998,0.865530303030303,457,17,54
draw_00005,2434.5463368954343,1808.8749999999998,0.9450757575757576,499,13,16
draw_00006,1919.8740562939115,1645.7499999999998,0.8598484848484849,454,15,59
draw_00007,2108.4465246719333,1707.3749999999998,0.8920454545454546,471,8,49
draw_00008,2271.4684465694163,1696.4999999999998,0.8863636363636364,468,21,39
draw_00009,2108.3951023375885,1710.9999999999998,0.8939393939393939,472,16,40
draw_00010,2295.606916732053,1754.4999999999998,0.9166666666666666,484,17,27
draw_00011,2377.4814818194973,1743.6249999999998,0.9109848484848485,481,12,35
draw_00012,2307.170544494442,1787.1249999999998,0.9337121212121212,493,11,24
draw_00013,2316.3794812891565,1725.4999999999998,0.9015151515151515,476,14,38
draw_00014,2130.2849392145376,1729.1249999999998,0.9034090909090909,477,12,39
draw_00015,2138.5571006521145,1696.4999999999998,0.8863636363636364,468,18,42
draw_00016,2333.6461509649357,1739.9999999999998,0.9090909090909091,480,20,28
draw_00017,2183.663699873709,1652.9999999999998,0.8636363636363636,456,16,56
draw_00018,2210.4349093070687,1725.4999999999998,0.9015151515151515,476,13,39
draw_00019,2056.1866460913775,1714.6249999999998,0.8958333333333334,473,11,44
draw_00020,2332.506439966627,1732.7499999999998,0.9053030303030303,478,9,41
draw_00021,2265.433823124373,1772.6249999999998,0.9261363636363636,489,9,30
draw_00022,2026.3200694164966,1692.8749999999998,0.884469696969697,467,15,46
draw_00023,2197.2103617716807,1681.9999999999998,0.8787878787878788,464,11,53
draw_00024,1912.6691384835904,1678.3749999999998,0.8768939393939394,463,25,40
draw_00025,2215.0364183413762,1765.3749999999998,0.9223484848484849,487,7,34
draw_00026,2225.8069054613643,1729.1249999999998,0.9034090909090909,477,18,33
draw_00027,2058.381933096647,1660.2499999999998,0.8674242424242424,458,19,51
draw_00028,2244.855650706598,1758.1249999999998,0.9185606060606061,485,9,34
draw_00029,2134.7883878447806,1816.1249999999998,0.9488636363636364,501,10,17
draw_00030,2300.41584808015,1790.7499999999998,0.9356060606060606,494,10,24
draw_00031,2218.8748144150322,1660.2499999999998,0.8674242424242424,458,23,47
draw_00032,2162.141203941799,1797.9999999999998,0.9393939393939394,496,11,21
draw_00033,2073.2080246244545,1674.7499999999998,0.875,462,21,45
draw_00034,2116.0299176453022,1718.2499999999998,0.8977272727272727,474,12,42
