fund_id,observations,analytic_monthly_mean,empirical_monthly_mean,mean_error,analytic_monthly_volatility,empirical_monthly_volatility,minimum_simulated_return,maximum_simulated_return
FG01,5280000,0.0015115,0.0015074706705380028,-4.029329461997192e-06,0.004704954466215949,0.004705847152565207,-0.023242241799039658,0.026451101926007987
FG02,5280000,0.0013809999999999998,0.0013773769421495231,-3.6230578504767037e-06,0.004178350521181175,0.004179108168296964,-0.020682198328621393,0.024027505644825913
FG03,5280000,0.001111,0.0011075769200183032,-3.423079981696841e-06,0.0038626825299489733,0.003864126294435121,-0.01894274913044278,0.02289350619098188
FG04,5280000,0.000983,0.0009798189133001355,-3.1810866998644056e-06,0.003381206218040797,0.003382677718971987,-0.016851047873978696,0.019906709788142008
FG05,5280000,0.0007084999999999999,0.0007060614635529594,-2.4385364470405494e-06,0.002943160969624283,0.0029441047728864874,-0.014190738034684534,0.016868999784768152
FG06,5280000,0.0006385,0.0006361770940498545,-2.3229059501454373e-06,0.0029965262498506087,0.002997326386948495,-0.013925465359220353,0.01657241270039888
FG07,5280000,0.0005268,0.0005245387472466146,-2.2612527533854253e-06,0.0031322697520652846,0.003132945485277411,-0.014802543191207183,0.016964829020577114
FG08,5280000,0.00038750000000000004,0.0003854013079235004,-2.098692076499644e-06,0.0032942007814222556,0.0032945647453944994,-0.01569841001773896,0.017719833135635042
FG09,5280000,0.0003487,0.0003467307429897335,-1.9692570102665245e-06,0.0034067139869623443,0.003406784583990917,-0.01659849690362596,0.01835658793724359
FG10,5280000,0.0002776,0.00027562031714499377,-1.979682855006253e-06,0.003550153611565207,0.00355019759071323,-0.01787838752340548,0.018592620820934713
