archetype,age_start,wage_uf,density,initial_balance_uf,observed_fund,month,year,observed_balance_uf,what_if_balance_uf,delta_uf,what_if_fund
Joven en Fondo C,28,35.0,1.0,10.0,C,0,0.0,10.0,10.0,0.0,A
Joven en Fondo C,28,35.0,1.0,10.0,C,1,0.08333333333333333,13.57641,13.617180000000001,0.04077000000000197,A
Joven en Fondo C,28,35.0,1.0,10.0,C,2,0.16666666666666666,17.188433055087142,17.28833076561348,0.09989771052633856,A
Joven en Fondo C,28,35.0,1.0,10.0,C,3,0.25,20.833807174453906,21.00907245871911,0.1752652842652047,A
Joven en Fondo C,28,35.0,1.0,10.0,C,4,0.3333333333333333,24.50898510791656,24.773196523036326,0.2642114151197674,A
Joven en Fondo C,28,35.0,1.0,10.0,C,5,0.4166666666666667,28.21232711921731,28.57839295616787,0.36606583695056116,A
Joven en Fondo C,28,35.0,1.0,10.0,C,6,0.5,31.946376942833908,32.430340750199974,0.4839638073660666,A
Joven en Fondo C,28,35.0,1.0,10.0,C,7,0.5833333333333334,35.71794683427816,36.34285392928375,0.6249070950055895,A
Joven en Fondo C,28,35.0,1.0,10.0,C,8,0.6666666666666666,39.53558439898678,40.33328246126839,0.7976980622816114,A
Joven en Fondo C,28,35.0,1.0,10.0,C,9,0.75,43.40509440947396,44.414329098399605,1.0092346889256447,A
Joven en Fondo C,28,35.0,1.0,10.0,C,10,0.8333333333333334,47.324704136456745,48.585060450148205,1.2603563136914602,A
Joven en Fondo C,28,35.0,1.0,10.0,C,11,0.9166666666666666,51.28184200405552,52.82460195592316,1.5427599518676374,A
Joven en Fondo C,28,35.0,1.0,10.0,C,12,1.0,55.253186737921126,57.09158656236181,1.8383998244406854,A
Joven en Fondo C,28,35.0,1.0,10.0,C,13,1.0833333333333333,59.20867032795678,61.330865418071944,2.122195090115163,A
Joven en Fondo C,28,35.0,1.0,10.0,C,14,1.1666666666666667,63.11871181319346,65.48650502733898,2.3677932141455216,A
Joven en Fondo C,28,35.0,1.0,10.0,C,15,1.25,66.9625668919715,69.51736852319642,2.554801631224919,A
Joven en Fondo C,28,35.0,1.0,10.0,C,16,1.3333333333333333,70.73489348060421,73.40980490125952,2.674911420655306,A
Joven en Fondo C,28,35.0,1.0,10.0,C,17,1.4166666666666667,74.44793447247821,77.18232639833802,2.7343919258598106,A
Joven en Fondo C,28,35.0,1.0,10.0,C,18,1.5,78.12813794600828,80.87988270162985,2.751744755621573,A
Joven en Fondo C,28,35.0,1.0,10.0,C,19,1.5833333333333333,81.80803906868569,84.55930987021168,2.7512708015259904,A
Joven en Fondo C,28,35.0,1.0,10.0,C,20,1.6666666666666667,85.51598359379147,88.27088094839787,2.754897354606399,A
Joven en Fondo C,28,35.0,1.0,10.0,C,21,1.75,89.26710809693316,92.04225119951147,2.775143102578312,A
Joven en Fondo C,28,35.0,1.0,10.0,C,22,1.8333333333333333,93.05868306526392,95.87027285225876,2.811589786994844,A
Joven en Fondo C,28,35.0,1.0,10.0,C,23,1.9166666666666667,96.87164368474954,99.72375506549326,2.8521113807437217,A
Joven en Fondo C,28,35.0,1.0,10.0,C,24,2.0,100.67824294462494,103.55697053719506,2.8787275925701152,A
Joven en Fondo C,28,35.0,1.0,10.0,C,25,2.0833333333333335,93.6118699914441,87.83301822480372,-5.778851766640372,A
Joven en Fondo C,28,35.0,1.0,10.0,C,26,2.1666666666666665,93.0541238798528,84.47284655227524,-8.581277327577553,A
Joven en Fondo C,28,35.0,1.0,10.0,C,27,2.25,100.99518104714467,94.89001014580025,-6.105170901344422,A
Joven en Fondo C,28,35.0,1.0,10.0,C,28,2.3333333333333335,107.62722103152662,103.37912836250071,-4.248092669025908,A
Joven en Fondo C,28,35.0,1.0,10.0,C,29,2.4166666666666665,111.39552465549991,107.15725194755997,-4.238272707939942,A
Joven en Fondo C,28,35.0,1.0,10.0,C,30,2.5,115.28015120074355,111.1381794271237,-4.141971773619844,A
Joven en Fondo C,28,35.0,1.0,10.0,C,31,2.5833333333333335,119.32668964285382,115.39727085825884,-3.9294187845949864,A
Joven en Fondo C,28,35.0,1.0,10.0,C,32,2.6666666666666665,123.55878785868845,119.97241636814466,-3.586371490543783,A
Joven en Fondo C,28,35.0,1.0,10.0,C,33,2.75,127.97193732331094,124.8536808890969,-3.1182564342140324,A
Joven en Fondo C,28,35.0,1.0,10.0,C,34,2.8333333333333335,132.53514488323287,129.98576636127052,-2.5493785219623533,A
Joven en Fondo C,28,35.0,1.0,10.0,C,35,2.9166666666666665,137.20026773607273,135.283326721647,-1.9169410144257313,A
Joven en Fondo C,28,35.0,1.0,10.0,C,36,3.0,141.9164079586955,140.6554319606446,-1.2609759980508954,A
Joven en Fondo C,28,35.0,1.0,10.0,C,37,3.0833333333333335,146.6448799369755,146.03197708255954,-0.612902854415978,A
Joven en Fondo C,28,35.0,1.0,10.0,C,38,3.1666666666666665,151.3696287053364,151.38303654420665,0.013407838870250544,A
Joven en Fondo C,28,35.0,1.0,10.0,C,39,3.25,156.09912878553104,156.72357203033704,0.6244432448060024,A
Joven en Fondo C,28,35.0,1.0,10.0,C,40,3.3333333333333335,160.8585836054679,162.10068561606883,1.2421020106009166,A
Joven en Fondo C,28,35.0,1.0,10.0,C,41,3.4166666666666665,165.67470828586767,167.56700624120833,1.8922979553406662,A
Joven en Fondo C,28,35.0,1.0,10.0,C,42,3.5,170.5581728758758,173.14906117598565,2.590888300109839,A
Joven en Fondo C,28,35.0,1.0,10.0,C,43,3.5833333333333335,175.48989130044856,178.82162302119303,3.3317317207444717,A
Joven en Fondo C,28,35.0,1.0,10.0,C,44,3.6666666666666665,180.41645672918955,184.49765197671348,4.081195247523937,A
Joven en Fondo C,28,35.0,1.0,10.0,C,45,3.75,185.25744326958082,190.03924404464917,4.781800775068348,A
Joven en Fondo C,28,35.0,1.0,10.0,C,46,3.8333333333333335,189.9236459411989,195.28882085450383,5.365174913304912,A
Joven en Fondo C,28,35.0,1.0,10.0,C,47,3.9166666666666665,194.34151380457413,200.11278343620288,5.771269631628741,A
Joven en Fondo C,28,35.0,1.0,10.0,C,48,4.0,198.47626866655867,204.44408581287163,5.967817146312967,A
Joven en Fondo C,28,35.0,1.0,10.0,C,49,4.083333333333333,202.34579165403517,208.30858836728004,5.96279671324487,A
Joven en Fondo C,28,35.0,1.0,10.0,C,50,4.166666666666667,206.01994761899365,211.82461174140278,5.804664122409122,A
Joven en Fondo C,28,35.0,1.0,10.0,C,51,4.25,209.60489451787387,215.1747075235284,5.569813005654538,A
Joven en Fondo C,28,35.0,1.0,10.0,C,52,4.333333333333333,213.2171288724201,218.5589523769559,5.341823504535796,A
Joven en Fondo C,28,35.0,1.0,10.0,C,53,4.416666666666667,216.95539143779007,222.14522644817282,5.189835010382751,A
Joven en Fondo C,28,35.0,1.0,10.0,C,54,4.5,220.87896250564972,226.03185867943552,5.152896173785791,A
Joven en Fondo C,28,35.0,1.0,10.0,C,55,4.583333333333333,224.99858191289619,230.23305754087937,5.234475627983187,A
Joven en Fondo C,28,35.0,1.0,10.0,C,56,4.666666666666667,229.28233014294076,234.6904630753367,5.408132932395944,A
Joven en Fondo C,28,35.0,1.0,10.0,C,57,4.75,233.67445413684294,239.30695882256805,5.6325046857251095,A
Joven en Fondo C,28,35.0,1.0,10.0,C,58,4.833333333333333,238.1212659617372,243.99256374186987,5.8712977801326645,A
